"id","productId","code","name","days","limited","fup","data","dailyDataCap","reducedSpeed","price","reloadable","countryCodes","networks","networkSpeed","apn","hotspot","activation","delivery","seoText","planType","localNumber","eKYC","uniqueName","isPopular","supplier"
"19315","WM-e-SEA-TI-1D","LeSIM-8390001","Singapore, Malaysia, Indonesia, Thailand","1","false","Unlimited","0","","5000","184","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-1d-singapore-malaysia-indonesia-thailand-1-unlimited","false","WM"
"19316","WM-e-SEA-TI-3D","LeSIM-8390003","Singapore, Malaysia, Indonesia, Thailand","3","false","Unlimited","0","","5000","552","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-3d-singapore-malaysia-indonesia-thailand-3-unlimited","false","WM"
"19317","WM-e-SEA-TI-5D","LeSIM-8390005","Singapore, Malaysia, Indonesia, Thailand","5","false","Unlimited","0","","5000","920","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-5d-singapore-malaysia-indonesia-thailand-5-unlimited","false","WM"
"19318","WM-e-SEA-TI-7D","LeSIM-8390007","Singapore, Malaysia, Indonesia, Thailand","7","false","Unlimited","0","","5000","1288","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-7d-singapore-malaysia-indonesia-thailand-7-unlimited","false","WM"
"19319","WM-e-SEA-TI-10D","LeSIM-8390010","Singapore, Malaysia, Indonesia, Thailand","10","false","Unlimited","0","","5000","1840","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-10d-singapore-malaysia-indonesia-thailand-10-unlimited","false","WM"
"19320","WM-e-SEA-TI-15D","LeSIM-8390015","Singapore, Malaysia, Indonesia, Thailand","15","false","Unlimited","0","","5000","2760","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-15d-singapore-malaysia-indonesia-thailand-15-unlimited","false","WM"
"19321","WM-e-SEA-TI-20D","LeSIM-8390020","Singapore, Malaysia, Indonesia, Thailand","20","false","Unlimited","0","","5000","3680","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-20d-singapore-malaysia-indonesia-thailand-20-unlimited","false","WM"
"19322","WM-e-SEA-TI-30D","LeSIM-8390030","Singapore, Malaysia, Indonesia, Thailand","30","false","Unlimited","0","","5000","5520","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-ti-30d-singapore-malaysia-indonesia-thailand-30-unlimited","false","WM"
"19323","WM-e-SEA-MAX-1D","LeSIM-9580001","Singapore, Malaysia, Indonesia, Thailand","1","false","Unlimited","0","","5000","102","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-max-1d-singapore-malaysia-indonesia-thailand-1-unlimited","false","WM"
"19324","WM-e-SEA-MAX-2D","LeSIM-9580002","Singapore, Malaysia, Indonesia, Thailand","2","false","Unlimited","0","","5000","182","false","[""SG"",""MY"",""ID"",""TH""]","[""Simba (Indonesia)"",""StarHub (Singapore)"",""Digi (Malaysia)"",""Celcom (Malaysia)"",""U Mobile (Malaysia)"",""AIS (Thailand)"",""True Move (Thailand)"",""Telkomsel (Indonesia)"",""XL (Indonesia)""]","5G/4G","mobile.three.com.hk","true","Plan starts with installation ","email within minutes ","This is SEO text describing the package ","Data only ","No","","wm-wm-e-sea-max-2d-singapore-malaysia-indonesia-thailand-2-unlimited","false","WM"
